There is a total of 40000 digits of the types:  0 1 2 3 4 5 6 7 8 9
Cuda enabled 

Net(
  (l1): Linear(in_features=784, out_features=20, bias=True)
  (l_out): Linear(in_features=20, out_features=10, bias=True)
)
Epoch   0 : Train Loss 5.774162 , Train acc 0.754714, Valid acc 0.744500
Epoch   5 : Train Loss 4.546185 , Train acc 0.848036, Valid acc 0.837750
Epoch  10 : Train Loss 4.511065 , Train acc 0.857107, Valid acc 0.846000
Epoch  15 : Train Loss 4.492875 , Train acc 0.862214, Valid acc 0.849250
Epoch  20 : Train Loss 4.480043 , Train acc 0.866036, Valid acc 0.851750
Epoch  25 : Train Loss 4.470353 , Train acc 0.868750, Valid acc 0.853250
Epoch  30 : Train Loss 4.462486 , Train acc 0.871393, Valid acc 0.854500
Epoch  35 : Train Loss 4.386525 , Train acc 0.928000, Valid acc 0.905250
Epoch  40 : Train Loss 4.259391 , Train acc 0.947464, Valid acc 0.922750
Epoch  45 : Train Loss 4.240163 , Train acc 0.953750, Valid acc 0.927250
Epoch  50 : Train Loss 4.228861 , Train acc 0.957714, Valid acc 0.929000
Epoch  55 : Train Loss 4.220595 , Train acc 0.959893, Valid acc 0.931000
Epoch  60 : Train Loss 4.214098 , Train acc 0.961929, Valid acc 0.932250
Epoch  65 : Train Loss 4.208585 , Train acc 0.963357, Valid acc 0.932750
Epoch  70 : Train Loss 4.203751 , Train acc 0.964714, Valid acc 0.933750
Epoch  75 : Train Loss 4.199498 , Train acc 0.965964, Valid acc 0.935250
Epoch  80 : Train Loss 4.195728 , Train acc 0.966929, Valid acc 0.935750
Epoch  85 : Train Loss 4.192255 , Train acc 0.967786, Valid acc 0.936500
Epoch  90 : Train Loss 4.189122 , Train acc 0.968643, Valid acc 0.936750
Epoch  95 : Train Loss 4.186333 , Train acc 0.969500, Valid acc 0.937000
Epoch 100 : Train Loss 4.183830 , Train acc 0.970393, Valid acc 0.936500
Epoch 105 : Train Loss 4.181767 , Train acc 0.970857, Valid acc 0.937500
Epoch 110 : Train Loss 4.179931 , Train acc 0.971107, Valid acc 0.937250
Epoch 115 : Train Loss 4.178195 , Train acc 0.971500, Valid acc 0.936250
Epoch 120 : Train Loss 4.176611 , Train acc 0.971893, Valid acc 0.936750
Epoch 125 : Train Loss 4.175193 , Train acc 0.972250, Valid acc 0.936750
Epoch 130 : Train Loss 4.173782 , Train acc 0.972786, Valid acc 0.937000
Epoch 135 : Train Loss 4.172401 , Train acc 0.973000, Valid acc 0.936750
Epoch 140 : Train Loss 4.171306 , Train acc 0.973321, Valid acc 0.936500
Epoch 145 : Train Loss 4.170303 , Train acc 0.973571, Valid acc 0.936500
Epoch 150 : Train Loss 4.169489 , Train acc 0.973714, Valid acc 0.937750
Epoch 155 : Train Loss 4.168759 , Train acc 0.973750, Valid acc 0.937750
Epoch 160 : Train Loss 4.168027 , Train acc 0.974036, Valid acc 0.937750
Epoch 165 : Train Loss 4.167314 , Train acc 0.974143, Valid acc 0.937750
Epoch 170 : Train Loss 4.166647 , Train acc 0.974357, Valid acc 0.938500
Epoch 175 : Train Loss 4.166059 , Train acc 0.974643, Valid acc 0.938000
Epoch 180 : Train Loss 4.165388 , Train acc 0.974786, Valid acc 0.936750
Epoch 185 : Train Loss 4.164773 , Train acc 0.975000, Valid acc 0.936750
Epoch 190 : Train Loss 4.164208 , Train acc 0.975107, Valid acc 0.937750
Epoch 195 : Train Loss 4.163767 , Train acc 0.975214, Valid acc 0.938250
Epoch 200 : Train Loss 4.163447 , Train acc 0.975250, Valid acc 0.938500
Epoch 205 : Train Loss 4.163183 , Train acc 0.975250, Valid acc 0.938500
Epoch 210 : Train Loss 4.162898 , Train acc 0.975393, Valid acc 0.938750
Epoch 215 : Train Loss 4.162575 , Train acc 0.975464, Valid acc 0.938750
Epoch 220 : Train Loss 4.162172 , Train acc 0.975607, Valid acc 0.938500
Epoch 225 : Train Loss 4.161709 , Train acc 0.975750, Valid acc 0.938750
Epoch 230 : Train Loss 4.161342 , Train acc 0.975750, Valid acc 0.938250
Epoch 235 : Train Loss 4.161062 , Train acc 0.975857, Valid acc 0.938500
Epoch 240 : Train Loss 4.160757 , Train acc 0.975964, Valid acc 0.939000
Epoch 245 : Train Loss 4.160360 , Train acc 0.976107, Valid acc 0.939500
Epoch 250 : Train Loss 4.160061 , Train acc 0.976179, Valid acc 0.939750
Epoch 255 : Train Loss 4.159829 , Train acc 0.976250, Valid acc 0.939500
Epoch 260 : Train Loss 4.159660 , Train acc 0.976286, Valid acc 0.939250
Epoch 265 : Train Loss 4.159521 , Train acc 0.976286, Valid acc 0.939250
Epoch 270 : Train Loss 4.159397 , Train acc 0.976286, Valid acc 0.939250
Epoch 275 : Train Loss 4.159268 , Train acc 0.976357, Valid acc 0.939000
Epoch 280 : Train Loss 4.159102 , Train acc 0.976357, Valid acc 0.939250
Epoch 285 : Train Loss 4.158991 , Train acc 0.976357, Valid acc 0.939500
Epoch 290 : Train Loss 4.158892 , Train acc 0.976357, Valid acc 0.939500
Epoch 295 : Train Loss 4.158798 , Train acc 0.976357, Valid acc 0.939500
Epoch 300 : Train Loss 4.158649 , Train acc 0.976429, Valid acc 0.939250
Epoch 305 : Train Loss 4.158538 , Train acc 0.976429, Valid acc 0.939750
Epoch 310 : Train Loss 4.158439 , Train acc 0.976464, Valid acc 0.939500
Epoch 315 : Train Loss 4.158301 , Train acc 0.976536, Valid acc 0.939500
Epoch 320 : Train Loss 4.158117 , Train acc 0.976571, Valid acc 0.940000
Epoch 325 : Train Loss 4.158000 , Train acc 0.976571, Valid acc 0.940000
Epoch 330 : Train Loss 4.157917 , Train acc 0.976607, Valid acc 0.940000
Epoch 335 : Train Loss 4.157792 , Train acc 0.976607, Valid acc 0.940000
Epoch 340 : Train Loss 4.157724 , Train acc 0.976607, Valid acc 0.940000
Epoch 345 : Train Loss 4.157661 , Train acc 0.976607, Valid acc 0.940250
Epoch 350 : Train Loss 4.157586 , Train acc 0.976679, Valid acc 0.939750
Epoch 355 : Train Loss 4.157440 , Train acc 0.976750, Valid acc 0.938750
Epoch 360 : Train Loss 4.157253 , Train acc 0.976786, Valid acc 0.938750
Epoch 365 : Train Loss 4.157114 , Train acc 0.976821, Valid acc 0.939250
Epoch 370 : Train Loss 4.156940 , Train acc 0.976893, Valid acc 0.939250
Epoch 375 : Train Loss 4.156784 , Train acc 0.976964, Valid acc 0.939250
Epoch 380 : Train Loss 4.156581 , Train acc 0.977036, Valid acc 0.939000
Epoch 385 : Train Loss 4.156396 , Train acc 0.977107, Valid acc 0.939250
Epoch 390 : Train Loss 4.156260 , Train acc 0.977107, Valid acc 0.939250
Epoch 395 : Train Loss 4.156177 , Train acc 0.977143, Valid acc 0.939000
Epoch 400 : Train Loss 4.156049 , Train acc 0.977143, Valid acc 0.939000
Epoch 405 : Train Loss 4.155896 , Train acc 0.977214, Valid acc 0.938750
Epoch 410 : Train Loss 4.155817 , Train acc 0.977214, Valid acc 0.938750
Epoch 415 : Train Loss 4.155757 , Train acc 0.977250, Valid acc 0.938250
Epoch 420 : Train Loss 4.155630 , Train acc 0.977286, Valid acc 0.938250
Epoch 425 : Train Loss 4.155485 , Train acc 0.977321, Valid acc 0.938750
Epoch 430 : Train Loss 4.155419 , Train acc 0.977321, Valid acc 0.939000
Epoch 435 : Train Loss 4.155369 , Train acc 0.977321, Valid acc 0.939000
Epoch 440 : Train Loss 4.155313 , Train acc 0.977357, Valid acc 0.938750
Epoch 445 : Train Loss 4.155242 , Train acc 0.977357, Valid acc 0.939250
Epoch 450 : Train Loss 4.155194 , Train acc 0.977357, Valid acc 0.939000
Epoch 455 : Train Loss 4.155087 , Train acc 0.977393, Valid acc 0.939000
Epoch 460 : Train Loss 4.155036 , Train acc 0.977393, Valid acc 0.939500
Epoch 465 : Train Loss 4.154945 , Train acc 0.977429, Valid acc 0.939750
Epoch 470 : Train Loss 4.154862 , Train acc 0.977464, Valid acc 0.939750
Epoch 475 : Train Loss 4.154812 , Train acc 0.977500, Valid acc 0.940000
